"Product Category",Brand,Comments,"Repair Status","Spare parts (needed/used)",Event,Group,Date
Mobile,Samsung,"Loose wire from former repair",Fixed,No,"VMA, Hringteigur","Restarters Iceland",2019-03-21
Printer/scanner,HP,"Only scans quarter of page - advice given",Fixed,No,"Hackney Fixers Restart Party - The Redmond Centre, Manor House","Hackney Fixers",2019-01-19
"Musical instrument",Marshall,"Cracking sound on volume",Fixed,No,"VMA, Hringteigur","Restarters Iceland",2019-03-21
Mobile,,"Android - battery needs replacing - more time needed",Repairable,No,"Hackney Fixers Restart Party - The Redmond Centre, Manor House","Hackney Fixers",2019-01-19
"Hi-Fi separates",JVC,"Goes on Standby","End of life",No,"VMA, Hringteigur","Restarters Iceland",2019-03-21
"Small kitchen item",Krups,"Motor broken (smoke)",Unknown,No,"Hackney Fixers Restart Party - The Redmond Centre, Manor House","Hackney Fixers",2019-01-19
Misc,,"Clock wasn't working - needed tightening and new battery",Fixed,No,"Hackney Fixers Restart Party - The Redmond Centre, Manor House","Hackney Fixers",2019-01-19
Mobile,Apple,"Broken screen",Repairable,No,"VMA, Hringteigur","Restarters Iceland",2019-03-21
Mobile,Apple,"Broken screen",Repairable,No,"VMA, Hringteigur","Restarters Iceland",2019-03-21
"Small kitchen item",,"Slush machine not working",Unknown,No,"Hackney Fixers Restart Party - The Redmond Centre, Manor House","Hackney Fixers",2019-01-19
Mobile,Apple,"Broken screen",Repairable,No,"VMA, Hringteigur","Restarters Iceland",2019-03-21
Tablet,,"Jack needs soldering","End of life",No,"Hackney Fixers Restart Party - The Redmond Centre, Manor House","Hackney Fixers",2019-01-19
Mobile,Apple,"Broken screen",Fixed,No,"VMA, Hringteigur","Restarters Iceland",2019-03-21
Headphones,,"wiring faulty - fixed",Fixed,No,"Hackney Fixers Restart Party - The Redmond Centre, Manor House","Hackney Fixers",2019-01-19
"Decorative or safety lights",,"Loose connection",Fixed,No,"Hackney Fixers Restart Party - The Redmond Centre, Manor House","Hackney Fixers",2019-01-19
Misc,,"DVD - discs not loading properly",Repairable,No,"Hackney Fixers Restart Party - The Redmond Centre, Manor House","Hackney Fixers",2019-01-19
"Handheld entertainment device",,"MP3 player not turning on - internal battery gone",Repairable,No,"Hackney Fixers Restart Party - The Redmond Centre, Manor House","Hackney Fixers",2019-01-19
"Laptop large",,"battery dies - advice given",Repairable,No,"Hackney Fixers Restart Party - The Redmond Centre, Manor House","Hackney Fixers",2019-01-19
"Laptop medium",,"line on screen - needs parts",Repairable,No,"Hackney Fixers Restart Party - The Redmond Centre, Manor House","Hackney Fixers",2019-01-19
Projector,,"Dropped, not working - replaced fuse, needs bulrb",Fixed,No,"Hackney Fixers Restart Party - The Redmond Centre, Manor House","Hackney Fixers",2019-01-19
"Laptop medium",,"dropped, not booting - needs new battery",Repairable,No,"Hackney Fixers Restart Party - The Redmond Centre, Manor House","Hackney Fixers",2019-01-19
Toaster,,"Not staying pressed down",Fixed,No,"Hackney Fixers Restart Party - The Redmond Centre, Manor House","Hackney Fixers",2019-01-19
"Paper shredder",,"Needs putting back together - which was done",Fixed,No,"Hackney Fixers Restart Party - The Redmond Centre, Manor House","Hackney Fixers",2019-01-19
Lamp,,"Needs advice - advice given",Fixed,No,"Hackney Fixers Restart Party - The Redmond Centre, Manor House","Hackney Fixers",2019-01-19
"Laptop medium",ASUS,"White screen (powers on)",Repairable,No,"Hackney Fixers Restart Party - The Redmond Centre, Manor House","Hackney Fixers",2019-01-19
Mobile,Samsung,"Not always staying on - needs new battery",Repairable,No,"Hackney Fixers Restart Party - The Redmond Centre, Manor House","Hackney Fixers",2019-01-19
"Decorative or safety lights",,"Owner found it on the street and thought it was broken. We discovered there was a hidden switch inside the picture.",Fixed,No,"Rosie Restart Party","Restart HQ",2019-03-30
Vacuum,Dyson,"werkt niet",Fixed,No,"Repair Café Haacht - Tildonk","Repair Café Haacht",2019-03-17
Vacuum,,"Cannot adjust power levels",Repairable,No,"Fiksefest på Manglerud senter","Restarters Oslo",2018-11-10
Mobile,Apple,"Sound issues",Repairable,No,"Fiksefest på Manglerud senter","Restarters Oslo",2018-11-10
Mobile,Apple,"Weak/bad sound from speaker",Fixed,No,"Fiksefest på Manglerud senter","Restarters Oslo",2018-11-10
Mobile,Apple,"Home button issues, ""freezes"" sometimes",Fixed,No,"Fiksefest på Manglerud senter","Restarters Oslo",2018-11-10
Headphones,Marshall,"Noisy sound, only one plug works",Fixed,No,"Fiksefest på Manglerud senter","Restarters Oslo",2018-11-10
"Laptop medium",Dell,"Issues with the battery",Repairable,No,"Fiksefest på Manglerud senter","Restarters Oslo",2018-11-10
Mobile,Apple,"Wants to put it back to factory settings",Fixed,No,"Fiksefest på Manglerud senter","Restarters Oslo",2018-11-10
