"Product Category",Brand,Comments,"Repair Status","Spare parts (needed/used)",Event,Group,Date
Toy,,"Electronic Screen",Fixed,No,"Molecola Legambiente Torino","Restarters Torino",2017-11-25
Misc,HP,Charger,Repairable,No,"Molecola Legambiente Torino","Restarters Torino",2017-11-25
Fan,Vornado,"makes noise when turned on but blades don't spin. Fixer determined motor seems dead","End of life",No,"Fixit Clinic Berkeley Public Library","Culture of Repair",2018-03-03
"Small kitchen item",Westclock,"clock, hands don't turn, grinding sound; deterimned stripped gear. cannot take apart to repair without causing major damage","End of life",No,"Fixit Clinic Berkeley Public Library","Culture of Repair",2018-03-03
"Handheld entertainment device",Bose,"radio; constant monotone sound accompanies music; determined too involved to fix; owner decided to discard","End of life",No,"Fixit Clinic Berkeley Public Library","Culture of Repair",2018-03-03
"Handheld entertainment device",Sony,"CD player, car radio; buttons to change stations don't work. Owner took off back cor but buttons are hidden by computer board,",Repairable,No,"Fixit Clinic Berkeley Public Library","Culture of Repair",2018-03-03
Tablet,Sony,"eReader, appears battery is dead, owner bought a replacement but can't remove old, has watched youtube videos of similar models and bought tools to do but can't. fixer replaced bad battery but still not working; owner will charge battery when home",Repairable,No,"Fixit Clinic Berkeley Public Library","Culture of Repair",2018-03-03
Tablet,Acer,,Repairable,No,"Fixit Clinic Berkeley Public Library","Culture of Repair",2018-03-03
Kettle,,"sparking intermittently",Fixed,No,"Fixit Clinic Berkeley Public Library","Culture of Repair",2018-03-03
"Small kitchen item",Krups,"blender rattles when used fixer determined rattle isn't in the motor so not dangerous to use. Will buy a replacement carafe base or replacement blade assembly and see if rattle resolves",Repairable,No,"Fixit Clinic Berkeley Public Library","Culture of Repair",2018-03-03
"Small kitchen item",KitchenAid,"countertop mixer; tilthead not level, motor oil leaks into bowl, owner has tried to tighten hinge; unfortunately did not report what tried or will do, only that owner would complete at home.",Repairable,No,"Fixit Clinic Berkeley Public Library","Culture of Repair",2018-03-03
Toaster,GE,,"End of life",No,"Fixit Clinic Berkeley Public Library","Culture of Repair",2018-03-03
Misc,Singer,"Sewing machine: not stitching due to bobbin threading issue",Repairable,No,"Fixit Clinic Berkeley Public Library","Culture of Repair",2018-03-03
Misc,Intertek,"space heater won't turn on",Fixed,No,"Fixit Clinic Berkeley Public Library","Culture of Repair",2018-03-03
Lamp,"Amprobe Instruments","bulb flickers",Fixed,No,"Fixit Clinic Berkeley Public Library","Culture of Repair",2018-03-03
Lamp,IKEA,"fixer determined power supply is bad, instructed participant where to get another and how to install",Repairable,No,"Fixit Clinic Berkeley Public Library","Culture of Repair",2018-03-03
"Small kitchen item",Copal,"numbers get stuck while flipping",Fixed,No,"Fixit Clinic Berkeley Public Library","Culture of Repair",2018-03-03
Headphones,Sony,"bad cord",Fixed,No,"Fixit Clinic Berkeley Public Library","Culture of Repair",2018-03-03
Lamp,Wedgewood,"needs switch",Fixed,No,"Fixit Clinic Berkeley Public Library","Culture of Repair",2018-03-03
Lamp,,"switch bad",Fixed,No,"Fixit Clinic Berkeley Public Library","Culture of Repair",2018-03-03
"Handheld entertainment device",Philips,"CD function not working",Fixed,No,"Fixit Clinic Berkeley Public Library","Culture of Repair",2018-03-03
Mobile,Motorola,"intermittently can't charge, USB port malfunction , owner did research on web, tried to clean port, used other charging cords; fixer determined USB cord dead, replaced",Fixed,No,"Fixit Clinic Berkeley Public Library","Culture of Repair",2018-03-03
"Small kitchen item",Panasonic,"pencil sharpener jammed, fixer unjammed",Fixed,No,"Fixit Clinic Berkeley Public Library","Culture of Repair",2018-03-03
"Small kitchen item",Cuisinart,,Fixed,No,"Fixit Clinic Berkeley Public Library","Culture of Repair",2018-03-03
Vacuum,Shop-Vac,,Fixed,No,"Fixit Clinic Berkeley Public Library","Culture of Repair",2018-03-03
Misc,Casio,"calculator heard a bad sound then stopped working",Fixed,No,"Fixit Clinic Berkeley Public Library","Culture of Repair",2018-03-03
"Small kitchen item",Cuisinart,,Fixed,No,"Fixit Clinic Berkeley Public Library","Culture of Repair",2018-03-03
Misc,,"Flourescent ballast: needs to know how to use, learned how to use",Fixed,No,"Fixit Clinic Berkeley Public Library","Culture of Repair",2018-03-03
Misc,,"Flourescent ballast: Does not start fresh tubes, participant came having tried new tubes; worked with fixer to identify what kind of tubes needs and how to install",Repairable,No,"Fixit Clinic Berkeley Public Library","Culture of Repair",2018-03-03
"Small kitchen item","Pets Mate","cat chewed cord",Fixed,No,"Fixit Clinic Berkeley Public Library","Culture of Repair",2018-03-03
"Small kitchen item",Krups,"stopped working",Repairable,No,"Fixit Clinic Berkeley Public Library","Culture of Repair",2018-03-03
"Small kitchen item",Cuisinart,"Doesn't turn on",Fixed,No,"Fixit Clinic Berkeley Public Library","Culture of Repair",2018-03-03
Tablet,Amazon,"replaced screen",Fixed,No,rLab,"Reading Repair Café",2018-03-18
"Hi-Fi separates",Sony,"Cassette REcorder - Replaced belts",Repairable,No,rLab,"Reading Repair Café",2018-03-18
"TV and gaming-related accessories",Panasonic,"DVD recorder blown capacitor fixed",Fixed,No,rLab,"Reading Repair Café",2018-03-18
Lamp,Anglepoise,re-wired,Fixed,No,rLab,"Reading Repair Café",2018-03-18
Misc,,"Earrings-Fixed silver earrings - stone setting",Fixed,No,rLab,"Reading Repair Café",2018-03-18
Misc,,"Earrings - Need soldering",Repairable,No,rLab,"Reading Repair Café",2018-03-18
Misc,,"Necklace Broken clasp replaced",Fixed,No,rLab,"Reading Repair Café",2018-03-18
Misc,,"Necklace Repaired leather necklace",Fixed,No,rLab,"Reading Repair Café",2018-03-18
Misc,,"6 chairs, need different type of staples",Repairable,No,rLab,"Reading Repair Café",2018-03-18
"Hi-Fi separates",NAD,"Phono pre-amp",Repairable,No,rLab,"Reading Repair Café",2018-03-18
"Portable radio",Philips,"CD player - Removed 2 CDs from deck where one should have been.",Fixed,No,rLab,"Reading Repair Café",2018-03-18
Misc,,"Mended polar fleece gloves",Fixed,No,rLab,"Reading Repair Café",2018-03-18
Misc,,"Pine drawers - Advice given for mending",Repairable,No,rLab,"Reading Repair Café",2018-03-18
"Hi-Fi separates",NAD,"Phono pre-amp",Fixed,No,rLab,"Reading Repair Café",2018-03-18
"Portable radio",Philips,"CF player - Removed 2 CDs from deck where one should have been.",Fixed,No,rLab,"Reading Repair Café",2018-03-18
Misc,,"Mended polar fleece gloves",Fixed,No,rLab,"Reading Repair Café",2018-03-18
Misc,,"Pine drawers - Advice given for mending",Repairable,No,rLab,"Reading Repair Café",2018-03-18
"Portable radio",Pure,"system boot happened",Fixed,No,"The Redmond Centre, Manor House","Hackney Fixers",2018-02-03
Toaster,,"needs testing","End of life",No,"The Redmond Centre, Manor House","Hackney Fixers",2018-02-03
"Paper shredder",,"Plastic ridge to depress safety switch had broken off. Glued on piece of plastic card to replace it.",Fixed,No,"Portsmouth (Trial Session)","Repair Café Portsmouth",2018-03-17
"Portable radio",,"Aerial connection faulty. Resoldered. Info given so that aerial earth could be connected via screw when home. Sugru used to secure ariel.",Fixed,No,"Portsmouth (Trial Session)","Repair Café Portsmouth",2018-03-17
"Decorative or safety lights",,"Fairy lights not working. Broken wire. Soldered and sugru'd",Fixed,No,"Portsmouth (Trial Session)","Repair Café Portsmouth",2018-03-17
Lamp,,"Broken base, superglued and temporarily taped until strong.",Fixed,No,"Portsmouth (Trial Session)","Repair Café Portsmouth",2018-03-17
"Small kitchen item",,"Juicer had stopped working, fault identified as non-working swtich. Participant will source a new switch and return next time for help in installing it.",Repairable,No,"Portsmouth (Trial Session)","Repair Café Portsmouth",2018-03-17
"Small kitchen item",,"Juicer - Switch failed continuity test, so customer taking away to get replacement switch, will return next month for help in replacing it.",Repairable,No,"Portsmouth (Trial Session)","Repair Café Portsmouth",2018-03-17
Misc,,"Sewing Machine. Wasn't turning on, but when we plugged it in and switched it on, it started working. Bulb flickers, so needs to be replaced. Given a good clean and dust inside.",Fixed,No,"Portsmouth (Trial Session)","Repair Café Portsmouth",2018-03-17
"PC Accessory",Apple,"Battery drains really fast. Solved as a software issue",Repairable,No,"Restart Iceland - Akureyri ","Restarters Iceland",2018-03-14
Mobile,Apple,"Battery drains really fast","End of life",No,"Restart Iceland - Akureyri ","Restarters Iceland",2018-03-14
Mobile,Apple,"Fire wire as a headphone connection not working",Repairable,No,"Restart Iceland - Akureyri ","Restarters Iceland",2018-03-14
Mobile,Apple,"Crashes - fixed with software cleanup and making space",Fixed,No,"Restart Iceland - Akureyri ","Restarters Iceland",2018-03-14
Mobile,Samsung,"Broken screen - to order spare parts",Repairable,No,"Restart Iceland - Akureyri ","Restarters Iceland",2018-03-14
Mobile,Apple,"Menu button does not work - to order spare parts",Repairable,No,"Restart Iceland - Akureyri ","Restarters Iceland",2018-03-14
Mobile,Apple,"Water damage- got wet over one month ago no instantaneous drying process","End of life",No,"Restart Iceland - Akureyri ","Restarters Iceland",2018-03-14
Mobile,Apple,"Not functioning well - needed data cleanup and software updates",Repairable,No,"Restart Iceland - Akureyri ","Restarters Iceland",2018-03-14
"Portable radio",ICGS,"Radio alarm - Volume button does not work random raises and lowers volume",Fixed,No,"Restart Iceland - Akureyri ","Restarters Iceland",2018-03-14
"Portable radio",Grundig,"Volume button not working",Fixed,No,"Restart Iceland - Akureyri ","Restarters Iceland",2018-03-14
"Small kitchen item",,"Sandwich grill - Short circuits",Fixed,No,"Restart Iceland - Akureyri ","Restarters Iceland",2018-03-14
"Small kitchen item","George Foreman","Grill - Loss of power during use - worn cables",Fixed,No,"Restart Iceland - Akureyri ","Restarters Iceland",2018-03-14
"Laptop small",ASUS,"Slow, sound is daleky. Works fine.",Fixed,No,"Belsize Community Library","Restart HQ",2018-02-22
Toaster,Breville,"Toast lifting mechanism not working.",Fixed,No,"Belsize Community Library","Restart HQ",2018-02-22
"Laptop medium",HP,"Overheating, doesn't stay on when unplugged. Fan needed. Fixable.",Repairable,No,"Belsize Community Library","Restart HQ",2018-02-22
"Laptop medium",HP,"Nothing happens. BIOS problem. Fixable.",Repairable,No,"Belsize Community Library","Restart HQ",2018-02-22
"DLSR / Video Camera",GoPro,"Switch not connecting (does switch on)",Fixed,No,"Belsize Community Library","Restart HQ",2018-02-22
"Portable radio",Pure,"Works for a bit then fades. (Has new power lead). Advice given.",Repairable,No,"Belsize Community Library","Restart HQ",2018-02-22
Lamp,,"Anglepoise. No light. Fuse replaced!",Fixed,No,"Belsize Community Library","Restart HQ",2018-02-22
Vacuum,VAX,"Poofs out quickly. Little suction.",Fixed,No,"Belsize Community Library","Restart HQ",2018-02-22
"Handheld entertainment device",iriver,"MP3 player. Dropped it, now nothing. Works! Just needs part (possible!)",Repairable,No,"Belsize Community Library","Restart HQ",2018-02-22
"Hi-Fi integrated",Kenwood,"No sign of life. Can't test, no speaker. Advice on speaker.",Repairable,No,"Belsize Community Library","Restart HQ",2018-02-22
Lamp,,"Table lamp. No sign of life. Bulb issue.",Fixed,No,"Belsize Community Library","Restart HQ",2018-02-22
"Small kitchen item",Krups,"Milk frother. No sign of life. Motherboard needs checking (donated to a person for sacrifice of parts!)","End of life",No,"Belsize Community Library","Restart HQ",2018-02-22
Toaster,Dualit,"No sign of life. Needs difficult part.",Repairable,No,"Belsize Community Library","Restart HQ",2018-02-22
"Laptop medium",,,"End of life",No,"Université de Montréal","Réparothons INSERTECH (Montreal)",2018-01-25
"Laptop medium",,,Fixed,No,"Université de Montréal","Réparothons INSERTECH (Montreal)",2018-01-25
"Laptop medium",,,Repairable,No,"Université de Montréal","Réparothons INSERTECH (Montreal)",2018-01-25
"Laptop medium",,,Repairable,No,"Université de Montréal","Réparothons INSERTECH (Montreal)",2018-01-25
"Laptop medium",,,Fixed,No,"Université de Montréal","Réparothons INSERTECH (Montreal)",2018-01-25
"Laptop medium",,,Fixed,No,"Université de Montréal","Réparothons INSERTECH (Montreal)",2018-01-25
"Laptop medium",,,Repairable,No,"Université de Montréal","Réparothons INSERTECH (Montreal)",2018-01-25
"Laptop medium",,,Fixed,No,"Université de Montréal","Réparothons INSERTECH (Montreal)",2018-01-25
"Laptop medium",,,Repairable,No,"Université de Montréal","Réparothons INSERTECH (Montreal)",2018-01-25
Printer/scanner,,,Repairable,No,"Université de Montréal","Réparothons INSERTECH (Montreal)",2018-01-25
"Digital Compact Camera",,,Repairable,No,"Université de Montréal","Réparothons INSERTECH (Montreal)",2018-01-25
Mobile,,,"End of life",No,"Université de Montréal","Réparothons INSERTECH (Montreal)",2018-01-25
Mobile,,,Fixed,No,"Université de Montréal","Réparothons INSERTECH (Montreal)",2018-01-25
Mobile,,,Fixed,No,"Université de Montréal","Réparothons INSERTECH (Montreal)",2018-01-25
Mobile,,,Fixed,No,"Université de Montréal","Réparothons INSERTECH (Montreal)",2018-01-25
Mobile,,,Repairable,No,"Université de Montréal","Réparothons INSERTECH (Montreal)",2018-01-25
Mobile,,,Repairable,No,"Université de Montréal","Réparothons INSERTECH (Montreal)",2018-01-25
Tablet,,,Fixed,No,"Université de Montréal","Réparothons INSERTECH (Montreal)",2018-01-25
Tablet,,,Repairable,No,"Université de Montréal","Réparothons INSERTECH (Montreal)",2018-01-25
"Desktop computer",,,Repairable,No,"Université de Montréal","Réparothons INSERTECH (Montreal)",2017-12-07
"Laptop medium",,,Fixed,No,"Université de Montréal","Réparothons INSERTECH (Montreal)",2017-12-07
"Laptop medium",,,Fixed,No,"Université de Montréal","Réparothons INSERTECH (Montreal)",2017-12-07
"Laptop medium",,,Fixed,No,"Université de Montréal","Réparothons INSERTECH (Montreal)",2017-12-07
"Laptop medium",,,Fixed,No,"Université de Montréal","Réparothons INSERTECH (Montreal)",2017-12-07
"Laptop medium",,,Fixed,No,"Université de Montréal","Réparothons INSERTECH (Montreal)",2017-12-07
"Laptop medium",,,Fixed,No,"Université de Montréal","Réparothons INSERTECH (Montreal)",2017-12-07
"Laptop medium",,,Fixed,No,"Université de Montréal","Réparothons INSERTECH (Montreal)",2017-12-07
"Laptop medium",,,Repairable,No,"Université de Montréal","Réparothons INSERTECH (Montreal)",2017-12-07
"Laptop medium",,,Repairable,No,"Université de Montréal","Réparothons INSERTECH (Montreal)",2017-12-07
"Laptop medium",,,Repairable,No,"Université de Montréal","Réparothons INSERTECH (Montreal)",2017-12-07
"Laptop medium",,,Fixed,No,"Université de Montréal","Réparothons INSERTECH (Montreal)",2017-12-07
"Laptop medium",,,Fixed,No,"Université de Montréal","Réparothons INSERTECH (Montreal)",2017-12-07
"Laptop medium",,,Fixed,No,"Université de Montréal","Réparothons INSERTECH (Montreal)",2017-12-07
"Laptop medium",,,Fixed,No,"Université de Montréal","Réparothons INSERTECH (Montreal)",2017-12-07
"Laptop medium",,,Fixed,No,"Université de Montréal","Réparothons INSERTECH (Montreal)",2017-12-07
"Laptop medium",,,Repairable,No,"Université de Montréal","Réparothons INSERTECH (Montreal)",2017-12-07
"Laptop medium",,,Repairable,No,"Université de Montréal","Réparothons INSERTECH (Montreal)",2017-12-07
"Laptop medium",,,Fixed,No,"Université de Montréal","Réparothons INSERTECH (Montreal)",2017-12-07
"Laptop medium",,,Repairable,No,"Université de Montréal","Réparothons INSERTECH (Montreal)",2017-12-07
"Laptop medium",,,Fixed,No,"Université de Montréal","Réparothons INSERTECH (Montreal)",2017-12-07
"Laptop medium",,,Fixed,No,"Université de Montréal","Réparothons INSERTECH (Montreal)",2017-12-07
"Laptop medium",,,Fixed,No,"Université de Montréal","Réparothons INSERTECH (Montreal)",2017-12-07
"Laptop medium",,,Fixed,No,"Université de Montréal","Réparothons INSERTECH (Montreal)",2017-12-07
"Laptop medium",,,Fixed,No,"Université de Montréal","Réparothons INSERTECH (Montreal)",2017-12-07
"Laptop medium",,,Repairable,No,"Université de Montréal","Réparothons INSERTECH (Montreal)",2017-12-07
"Laptop medium",,,Fixed,No,"Université de Montréal","Réparothons INSERTECH (Montreal)",2017-12-07
"Laptop medium",,,Repairable,No,"Université de Montréal","Réparothons INSERTECH (Montreal)",2017-12-07
Mobile,,,"End of life",No,"Université de Montréal","Réparothons INSERTECH (Montreal)",2017-12-07
"Desktop computer",,,Repairable,No,"Insertech - 4820, rue Molson","Réparothons INSERTECH (Montreal)",2017-10-22
"Laptop medium",,,Repairable,No,"Insertech - 4820, rue Molson","Réparothons INSERTECH (Montreal)",2017-10-22
"Laptop medium",,,Fixed,No,"Insertech - 4820, rue Molson","Réparothons INSERTECH (Montreal)",2017-10-22
"Laptop medium",,,Fixed,No,"Insertech - 4820, rue Molson","Réparothons INSERTECH (Montreal)",2017-10-22
"Laptop medium",,,Fixed,No,"Insertech - 4820, rue Molson","Réparothons INSERTECH (Montreal)",2017-10-22
"Laptop medium",,,Fixed,No,"Insertech - 4820, rue Molson","Réparothons INSERTECH (Montreal)",2017-10-22
"Laptop medium",,,Fixed,No,"Insertech - 4820, rue Molson","Réparothons INSERTECH (Montreal)",2017-10-22
"Laptop medium",,,Repairable,No,"Insertech - 4820, rue Molson","Réparothons INSERTECH (Montreal)",2017-10-22
"Laptop medium",,,Fixed,No,"Insertech - 4820, rue Molson","Réparothons INSERTECH (Montreal)",2017-10-22
"Laptop medium",,,Fixed,No,"Insertech - 4820, rue Molson","Réparothons INSERTECH (Montreal)",2017-10-22
"Laptop medium",,,Fixed,No,"Insertech - 4820, rue Molson","Réparothons INSERTECH (Montreal)",2017-10-22
Mobile,,,Fixed,No,"Insertech - 4820, rue Molson","Réparothons INSERTECH (Montreal)",2017-10-22
Mobile,,,Repairable,No,"Insertech - 4820, rue Molson","Réparothons INSERTECH (Montreal)",2017-10-22
Tablet,,,Fixed,No,"Insertech - 4820, rue Molson","Réparothons INSERTECH (Montreal)",2017-10-22
Tablet,,,Fixed,No,"Insertech - 4820, rue Molson","Réparothons INSERTECH (Montreal)",2017-10-22
Tablet,,,Fixed,No,"Insertech - 4820, rue Molson","Réparothons INSERTECH (Montreal)",2017-10-22
Printer/scanner,Canon,"Print-head warning light. A restarter cleaned the print-head with alcohol, but the printer would not accept it. Theorised to be a programmed failure on the print-head chip, requiring a replacement part. Repairable, but likely discarded over part cost.","End of life",No,"TTF Repair Café","Forres Restarters",2018-03-03
Printer/scanner,HP,"Error code for print head / ink system failure. A restarter cleaned the print-head with alcohol, but the printer would not accept it. Theorised to be a programmed failure on the print-head chip, requiring a replacement part. We found instructions for a factory reset on Youtube, but they did not work for us. Repairable, but likely discarded over part cost.","End of life",No,"TTF Repair Café","Forres Restarters",2018-03-03
Tablet,Apple,"Cracked screen. Owner did not have a spare part and neither did we. Repair deferred.",Repairable,No,"TTF Repair Café","Forres Restarters",2018-03-03
"Small kitchen item",Braun,"The power cable was coming loose from its plastic strain-relief guide and could be damaged by flexing. We offered to stick the cable in place from outside with sugru or heat-shrink tubing, or to open the top cap bearing its speed dial in order to see if internal damage had been done causing the cable to pull out further than it should. Fearing damaging the rotary switch or not being able to get it back together due to a complete lack of screws/bolts in its build, the owner opted to simply hold it in with heat-shrink for now.",Fixed,No,"TTF Repair Café","Forres Restarters",2018-03-03
Vacuum,,"Small battery-powered carpet cleaner attached to a long handle, brand/model forgotten. The handle had snapped off from the hinge, as a clip had snapped off. The hinge also seemed to be stuck in one position. After freeing the hinge and offering to glue the handle onto it with epoxy resin, the user decided that the two positions/angles the handle was now moving between were not practical, and decided against the repair.","End of life",No,"TTF Repair Café","Forres Restarters",2018-03-03
Toaster,"Morphy Richards","Only toasting one side. Heating element needs replace",Repairable,No,"Belsize Community Library","Restart HQ",2018-02-22
"Desktop computer",,"2017-10-13 Friday Donated HP desktop, laptop, Screen, keyboard, mouse and Ethernet cable. The screen was faulty and flickered off (at a later date replaced with a working screen). Gave a short introduction to Ubuntu gnu/Linux. Conclusion very intuitive",Fixed,No,"Richmond MakerLabs Open day","Richmond Makerlabs",2018-02-23
"Laptop medium",,"2017-10-13 Friday Donated HP desktop, laptop, Screen, keyboard, mouse and Ethernet cable. The screen was faulty and flickered off (at a later date replaced with a working screen). Gave a short introduction to Ubuntu gnu/Linux. Conclusion very intuitive",Fixed,No,"Richmond MakerLabs Open day","Richmond Makerlabs",2018-02-23
"Laptop medium",,"2017-11-07 Tuesday David W brought along a computer with an internet connectivity problem. IanB did his best to advise, but the problem may remain with the router",Repairable,No,"Richmond MakerLabs Open day","Richmond Makerlabs",2018-02-23
Mobile,,"2017-10-03 Tuesday Joe had a mobile phone that had lost the soldered joint to the wifi arial that needed re-soldering, however closer inspection revealed that the solder pad had come away with the tab, and couldn't be repaired.","End of life",No,"Richmond MakerLabs Open day","Richmond Makerlabs",2018-02-23
Mobile,Apple,"2017-10-31 Mark also had a go at Jan's iPhone problem, but no solution could be found",Repairable,No,"Richmond MakerLabs Open day","Richmond Makerlabs",2018-02-23
"Small kitchen item",,"2017-10-24 Tuesday Dan tried to repair a homogeniser that had burnt",Repairable,No,"Richmond MakerLabs Open day","Richmond Makerlabs",2018-02-23
Misc,,"2017-10-01 Sunday Garret brought in some set-top boxes and cable modems to take apart and recycle. Recovered 500GB HDD and some nice PCB switches.","End of life",No,"Richmond MakerLabs Open day","Richmond Makerlabs",2018-02-23
Misc,,"2017-10-03 Tuesday: Paul B and Martin investigated replacement of the lathe speed controller, replaced it and then believed it was broken again. Peter had a look and it now seems to work.",Fixed,No,"Richmond MakerLabs Open day","Richmond Makerlabs",2018-02-23
Misc,,"Electric scooter, 2017-10-10 Tuesday A visitor had a faulty electric scooter - alas I neither caught her name nor fixed the scooter(Andres note: Justine)",Repairable,No,"Richmond MakerLabs Open day","Richmond Makerlabs",2018-02-23
Misc,,"2017-10-24 Tuesday Jean was hoping for some help repairing some extending pruning shears, but we concluded they were beyond repair.","End of life",No,"Richmond MakerLabs Open day","Richmond Makerlabs",2018-02-23
Misc,,"2017-10-31 Tuesday Paul E also found a solution to Peter's brake light problem",Fixed,No,"Richmond MakerLabs Open day","Richmond Makerlabs",2018-02-23
Kettle,"Russell Hobbs","Not turning on. Blown fuse due to irregular power supply.",Fixed,No,"Belsize Community Library","Restart HQ",2018-02-22
Mobile,Apple,"Battery replacement using iFixit battery replacement kit",Fixed,No,"Belsize Community Library","Restart HQ",2018-02-22
Misc,,"Brass hunting horn - Solder requires a blow torch - coming back next time to R lab",Repairable,No,RISC,"Reading Repair Café",2018-02-18
Misc,,"garden chair",Repairable,No,RISC,"Reading Repair Café",2018-02-18
Misc,,"garden chair",Repairable,No,RISC,"Reading Repair Café",2018-02-18
Misc,,"necklace - clasp mended",Fixed,No,RISC,"Reading Repair Café",2018-02-18
Misc,,"necklace - clasp mended",Fixed,No,RISC,"Reading Repair Café",2018-02-18
Misc,Asos,"Flap re-sewed",Fixed,No,RISC,"Reading Repair Café",2018-02-18
Misc,,"Holdall - Zip re-attached",Fixed,No,RISC,"Reading Repair Café",2018-02-18
Misc,Asos,"Flap re-sewed",Fixed,No,RISC,"Reading Repair Café",2018-02-18
Misc,,"Holdall - Zip re-attached",Fixed,No,RISC,"Reading Repair Café",2018-02-18
"Laptop medium",,"Took data from old laptop that could not be repaired.","End of life",No,RISC,"Reading Repair Café",2018-02-18
Kettle,"Morphy Richards","Wrong cable",Fixed,No,RISC,"Reading Repair Café",2018-02-18
Lamp,,"Switch soldered but needs to be replaced.",Fixed,No,RISC,"Reading Repair Café",2018-02-18
Tablet,Hudl,"broken connector resoldered - surface mounted",Fixed,No,RISC,"Reading Repair Café",2018-02-18
"Small kitchen item",Kenwood,"Handle slightly damaged. Education on how to use it with the broken switch.",Fixed,No,RISC,"Reading Repair Café",2018-02-18
Misc,Hubsan,"motors replaced",Fixed,No,RISC,"Reading Repair Café",2018-02-18
Misc,Dinette,"Dining room chair - Re attached back cushion",Fixed,No,RISC,"Reading Repair Café",2018-02-18
"Decorative or safety lights",,"1m of lights, re-soldered",Fixed,No,RISC,"Reading Repair Café",2018-02-18
"TV and gaming-related accessories",Microsoft,"Controller - Needs parts for next month",Repairable,No,RISC,"Reading Repair Café",2018-02-18
"Laptop medium",Acer,"Fan cleared and rubber feet added for additional clearnance",Fixed,No,RISC,"Reading Repair Café",2018-02-18
"TV and gaming-related accessories",Microsoft,"Controller - Need parts -next time",Repairable,No,RISC,"Reading Repair Café",2018-02-18
"TV and gaming-related accessories",Microsoft,"Controller - Need parts - next time",Repairable,No,RISC,"Reading Repair Café",2018-02-18
"Hair & Beauty item",Wahl,"hair clippers - Cleaned and oiled and now working fine.",Fixed,No,RISC,"Reading Repair Café",2018-02-18
"Small kitchen item",,"Spoon - Glued back together",Fixed,No,RISC,"Reading Repair Café",2018-02-18
"Hair & Beauty item",Fanyi,"Nothing wrong with it",Fixed,No,RISC,"Reading Repair Café",2018-02-18
"Small kitchen item",Breville,"Could not be repaired.","End of life",No,RISC,"Reading Repair Café",2018-02-18
Vacuum,Dyson,"Blocked - education for maintenance of filter",Fixed,No,RISC,"Reading Repair Café",2018-02-18
Lamp,,Scanlight,Repairable,No,"Romsås ombruksstasjon","Restarters Oslo",2017-10-24
Misc,IKEA,"Electronic adjustable-height table. Had stopped working.",Fixed,No,"Romsås ombruksstasjon","Restarters Oslo",2017-10-24
Toaster,Nordica,"Internal mechanism.",Fixed,No,"Romsås ombruksstasjon","Restarters Oslo",2017-10-24
"Laptop medium",HP,Sluggish,Fixed,No,"Romsås ombruksstasjon","Restarters Oslo",2017-10-24
Mobile,Fairphone,"Broken screen.",Repairable,No,"Romsås ombruksstasjon","Restarters Oslo",2017-10-24
Toaster,Nordica,,Fixed,No,"Romsås ombruksstasjon","Restarters Oslo",2017-10-24
"Laptop medium",Sony,"Charging port wouldn't work.",Fixed,No,"Romsås ombruksstasjon","Restarters Oslo",2017-10-24
Mobile,Apple,"Broken screen.",Fixed,No,"Romsås ombruksstasjon","Restarters Oslo",2017-10-24
"Laptop medium",HP,"Broken screen.",Fixed,No,"Romsås ombruksstasjon","Restarters Oslo",2017-10-24
Misc,,"Wristwatch with broken battery.",Fixed,No,"Romsås ombruksstasjon","Restarters Oslo",2017-10-24
"Desktop computer",HP,"Wouldn't update.",Repairable,No,"Romsås ombruksstasjon","Restarters Oslo",2017-10-24
"Hi-Fi separates",,"Cassette player still won't work, but radio now works.",Fixed,No,"Romsås ombruksstasjon","Restarters Oslo",2017-10-24
"Hi-Fi separates",Philips,"Wouldn't start.",Fixed,No,"Romsås ombruksstasjon","Restarters Oslo",2017-10-24
"Handheld entertainment device",Apple,"Wouldn't start.",Fixed,No,"Romsås ombruksstasjon","Restarters Oslo",2017-10-24
"Laptop medium",Apple,"Wouldn't start.",Fixed,No,"Romsås ombruksstasjon","Restarters Oslo",2017-10-24
Misc,Philips,"Needed new parts.",Repairable,No,"Romsås ombruksstasjon","Restarters Oslo",2017-10-24
"Hi-Fi integrated",,"Power supply issue. Blown fuse.",Repairable,No,"The Goodlife Centre","The Goodlife Centre",2018-01-28
"Laptop medium",,"Possible PSU or battery problem.",Repairable,No,"The Goodlife Centre","The Goodlife Centre",2018-01-28
Vacuum,,"Ran out of time",Repairable,No,"The Goodlife Centre","The Goodlife Centre",2018-01-28
"TV and gaming-related accessories",,"DVD player - Needs new power supply board.",Repairable,No,"The Goodlife Centre","The Goodlife Centre",2018-01-28
Misc,,"Steam iron - Possible blown element","End of life",No,"The Goodlife Centre","The Goodlife Centre",2018-01-28
Printer/scanner,,"Needs cleaning",Repairable,No,"The Goodlife Centre","The Goodlife Centre",2018-01-28
Headphones,Sennheiser,Resoldered.,Fixed,No,"The Goodlife Centre","The Goodlife Centre",2018-01-28
Lamp,,"Lava lamp - Loose connection & new bulb needed.",Repairable,No,"The Goodlife Centre","The Goodlife Centre",2018-01-28
Toaster,,"Element repaired: rewiring to continue at home.",Repairable,No,"The Goodlife Centre","The Goodlife Centre",2018-01-28
Misc,,"Sunriser Alarm clock Needs a new fuse.",Repairable,No,"The Goodlife Centre","The Goodlife Centre",2018-01-28
